corp_code,recddate,filename'
100739,2014-08-08 00:00:00.000,Bharat_Petroleum_Corporation_Ltd_080814.pdf'
101968,2014-08-11 00:00:00.000,Hindalco_Industries_Ltd_180714.pdf'
556951,2014-08-12 00:00:00.000,Prestige_Estates_Projects_Ltd_120814.pdf'
105215,2014-08-12 00:00:00.000,TVS_Motor_Company_Ltd_040814.pdf'
556156,2014-08-14 00:00:00.000,Mahindra_CIE_Automotive_Ltd1_140814.pdf'
105639,2014-08-16 00:00:00.000,Hero_MotoCorp_Ltd_160814.pdf'
107402,2014-08-18 00:00:00.000,JSW_Steel_Ltd_180814.pdf'
556232,2014-08-18 00:00:00.000,Astral_Poly_Technik_Ltd_180814.pdf'
109527,2010-10-06 00:00:00.000,HCL TECH _06-10-2010 .pdf'
556683,2014-08-20 00:00:00.000,JSW_Energy_Ltd_AGM update 200814.pdf'
556036,2014-08-20 00:00:00.000,JK_Cement_Ltd_AGM update 200814.pdf'
102652,2014-08-20 00:00:00.000,Kotak_Mahindra_Bank_Ltd_capital raising 200814.pdf'
556419,2014-08-22 00:00:00.000,Bajaj_Finserv_Ltd_AGM update 220814.pdf'
101716,2014-08-01 00:00:00.000,Ambuja_Cements_Ltd_010814.pdf'
104025,2014-07-25 00:00:00.000,Raymond_Ltd_250714.pdf'
101071,2014-08-25 00:00:00.000,Dabur_India_Ltd_AGM update 250814.pdf'
105009,2014-08-25 00:00:00.000,Tata_Elxsi_Ltd_AGM update 250814.pdf'
557037,2014-08-25 00:00:00.000,Texmaco_Rail_&_Engineering_Ltd_250814.pdf'
555934,2014-08-27 00:00:00.000,Jindal_Stainless_Ltd1_loan 270814.pdf'
556232,2014-08-28 00:00:00.000,Astral_Poly_Technik_Ltd_split 280814.pdf'
101312,2014-09-01 00:00:00.000,Eicher_Motors_Ltd1_operational data 010914.pdf'
102902,2014-09-01 00:00:00.000,Mahindra_&_Mahindra_Ltd1_operational data 010914.pdf'
556178,2014-09-04 00:00:00.000,Info_Edge_(India)_Ltd_capital raising 040914.pdf'
101108,2014-09-04 00:00:00.000,DCM_Shriram_Ltd_buyback 040914.pdf'
556154,2014-09-06 00:00:00.000,GMR_Infrastructure_Ltd_warrants 060914.pdf'
101108,2014-09-09 00:00:00.000,DCM_Shriram_Ltd_buyback update 090914.pdf'
101342,2014-09-11 00:00:00.000,Electrosteel_Castings_Ltd_loan 1109143.pdf'
105048,2014-09-15 00:00:00.000,Tata_Motors_Ltd_operational data 150914.pdf'
556028,2014-09-16 00:00:00.000,IDFC_Ltd_pref allt 160914.pdf'
102361,2014-09-16 00:00:00.000,JB_Chemicals_&_Pharmaceuticals_Ltd1_merger 160914.pdf'
105088,2014-09-18 00:00:00.000,Thomas_Cook_(India)_Ltd2_merger 180914.pdf'
100031,2014-08-18 00:00:00.000,ACC_Ltd_180814.pdf'
100073,2014-09-19 00:00:00.000,Aegis_Logistics_Ltd1_investment 190914.pdf'
102738,2014-09-23 00:00:00.000,Larsen_&_Toubro_Ltd_FCCB 230914.pdf'
555975,2014-09-26 00:00:00.000,JBM_Auto_Ltd_split 260914.pdf'
109581,2014-09-27 00:00:00.000,Hatsun_Agro_Product_Ltd_capital raising 270914.pdf'
102683,2014-07-24 00:00:00.000,KSB_Pumps_Ltd_280814'
105048,2014-10-01 00:00:00.000,Tata_Motors_Ltd1_operational data 011014.pdf'
105215,2014-10-01 00:00:00.000,TVS_Motor_Company_Ltd_operational data 011014.pdf'
556293,2014-06-24 00:00:00.000,K.P.R._Mill_Ltd1_operational data 240614.pdf'
102902,2014-10-06 00:00:00.000,Mahindra_&_Mahindra_Ltd_operational data 061014.pdf'
102980,2014-10-07 00:00:00.000,Maruti_Suzuki_India_Ltd_operational data 071014.pdf'
102902,2014-10-07 00:00:00.000,Mahindra_&_Mahindra_Ltd_operational data 071014.pdf'
101312,2014-10-08 00:00:00.000,Eicher_Motors_Ltd_operational data 081014.pdf'
556956,2014-10-09 00:00:00.000,Coal_India_Ltd_operational data 091014.pdf'
104341,2014-10-10 00:00:00.000,Sesa_Sterlite_Ltd_operational data 101014.pdf'
105114,2014-10-13 00:00:00.000,Tata_Steel_Ltd_operational data 131014.pdf'
103688,2014-10-16 00:00:00.000,PI_Industries_Ltd_merger 161014.pdf'
555961,2014-10-16 00:00:00.000,Tata_Consultancy_Services_Ltd_merger 161014.pdf'
556058,2014-10-17 00:00:00.000,Suzlon_Energy_Ltd1_pref allt 171014.pdf'
556000,2014-10-20 00:00:00.000,Yes_Bank_Ltd_201014.pdf'
555853,2014-10-20 00:00:00.000,United_Spirits_Ltd_Dir Appointment 201014.pdf'
102401,2014-10-21 00:00:00.000,JK_Tyre_&_Industries_Ltd_split 211014.pdf'
100019,2014-10-28 00:00:00.000,ABB_India_Ltd1_Dir Appointment 281014.pdf'
104299,2014-10-31 00:00:00.000,Jindal_Saw_Ltd_pref issue 311014.pdf'
556745,2014-11-02 00:00:00.000,Persistent_Systems_Ltd_others 021114.pdf'
105048,2014-11-02 00:00:00.000,Tata_Motors_Ltd_operational data 021114.pdf'
105215,2014-11-02 00:00:00.000,TVS_Motor_Company_Ltd_operational data 021114.pdf'
102902,2014-11-02 00:00:00.000,Mahindra_&_Mahindra_Ltd1_operational data 021114.pdf'
105088,2014-11-03 00:00:00.000,Thomas_Cook_(India)_Ltd_merger 031114.pdf'
102442,2014-11-03 00:00:00.000,Kajaria_Ceramics_Ltd_regd off chg 031114.pdf'
105048,2014-11-03 00:00:00.000,Tata_Motors_Ltd_operational data 031114.pdf'
556156,2014-11-03 00:00:00.000,Mahindra_CIE_Automotive_Ltd_merger 031114.pdf'
106553,2014-11-03 00:00:00.000,Bajaj_Finance_Ltd_acquisition 031114.pdf'
102902,2014-11-04 00:00:00.000,Mahindra_&_Mahindra_Ltd_operational data 041114.pdf'
101571,2009-09-07 00:00:00.000,Areva T&D Notice-07-09-2014.pdf'
109527,2014-11-07 00:00:00.000,HCL_Technologies_Ltd_change in object clause 071114.pdf'
101314,2014-11-07 00:00:00.000,EID_Parry_India_Ltd_operational data 071114.pdf'
101054,2014-11-08 00:00:00.000,Crompton_Greaves_Ltd_investment 081114.pdf'
100700,2001-12-18 00:00:00.000,Blue Star_Notice for Buy back of equity shares_18.12.2001.pdf'
556418,2010-07-22 00:00:00.000,Bajaj Auto_Notice for Bonus Issue_22072010.pdf'
100700,2006-08-28 00:00:00.000,Blue Star_Sub division of equity shares of Rs 10 each-28082006.pdf'
101312,2007-03-23 00:00:00.000,Eicher Ltd-notice for acquisition of Eicher Goodearth Ltd 23032007.pdf'
107402,2010-10-26 00:00:00.000,JSW Steel_Notice for prefential allotment_26102010.pdf'
102616,2007-04-30 00:00:00.000,Cummins_chg in object clause 30.04.2007.pdf'
101381,2010-03-23 00:00:00.000,Engineers India_EGM Notice for Split and Bonus_23032010.pdf'
101857,2007-12-31 00:00:00.000,Havells_Notice for preferential allotment_31122007.pdf'
556391,2014-11-10 00:00:00.000,IRB_Infrastructure_Developers_Ltd_loan 101114.pdf'
104891,2014-11-10 00:00:00.000,Supreme_Petrochem_Ltd_post buyback 101114.pdf'
102893,2014-11-10 00:00:00.000,Vardhman_Textiles_Ltd_operational data 101114.pdf'
104536,2014-11-10 00:00:00.000,Siemens_Ltd_101114.pdf'
556370,2014-11-11 00:00:00.000,Jyothy_Laboratories_Ltd_split 111114.pdf'
104536,2014-11-11 00:00:00.000,Siemens_Ltd_demerger 111114.pdf'
107402,2014-11-11 00:00:00.000,JSW_Steel_Ltd_operational data 111114.pdf'
100700,2014-07-28 00:00:00.000,Blue Star Chairmans Speech 28.07.2014.pdf'
102720,2005-11-26 00:00:00.000,LMW_Notice of merger_26112005.pdf'
100911,2009-11-23 00:00:00.000,Exide Inds_Notice for pref allotment by QIP_23112009.pdf'
557037,2014-11-18 00:00:00.000,Texmaco_Rail_&_Engineering_Ltd_pref allt 181114.pdf'
105200,2014-11-18 00:00:00.000,Tube_Investments_of_India_Ltd_investment 181114.pdf'
556058,2014-11-18 00:00:00.000,Suzlon_Energy_Ltd_pref allt 181114.pdf'
101691,2010-01-04 00:00:00.000,Grasim Inds_Notice for Scheme of Arrangement_04012010.pdf'
101703,2011-01-25 00:00:00.000,Grindwell Norton_EGM for initiating new business_25012011.pdf'
100677,2003-06-09 00:00:00.000,3M India_Notice for Acquisition of Pouye Comm_09.06.2003.pdf'
100729,2011-03-23 00:00:00.000,Abbott India_Notice for Scheme of Amalgamation_23032011.pdf'
